content,fecha_publicacion
@mario_delgado @XochitlGalvez Que amargado y frustrado te manifiestas.... eres tan imbecil y p3ndejo que tu ni profesion tienes....de verdad que te arde hasta el cu.lo de envidia por la ING y proxima presidente de Mexico @XochitlGalvez .... sabes @mario_delgado vas a RCHATRPTM,2023-11-24 22:38:03+00:00
@jgnaredo @XochitlGalvez AMLO es presidente entonces meh,2023-11-24 22:37:52+00:00
"@tatclouthier @XochitlGalvez @Claudiashein Duda , que ha aportado la espuria cientifica para bien de Mexico, que ha planteado en cuestion de ciencia, porque nos consta que soluciones nunca dio, es una reverenda inutil todos los problemas se los resolvio el presidente",2023-11-24 22:35:43+00:00
"@mario_delgado @XochitlGalvez Bravo presidente, asi se le calla la boca a una coneja. https://t.co/wPuoZFXaoY",2023-11-24 22:29:35+00:00
@tatclouthier @XochitlGalvez @Claudiashein y tenemos un presidente que no sabe q fecha goberno porfirio diaz,2023-11-24 22:29:29+00:00
@LillyTellez @XochitlGalvez Y ustd como va en las encuestas para presidente,2023-11-24 22:25:28+00:00
"Nos acompanaron tambien nuestras precandidatas @XochitlGalvez, @LibiaDennise y nuestro presidente nacional del PAN @MarkoCortes. 

Bienvenidos sean al bastion azul de Mexico.  https://t.co/kPgHgaRYP5",2023-11-24 22:20:20+00:00
"@EderGuevaraM @XochitlGalvez @SergioSarmiento @lorenzocordovav No es porque sea buena, sino que la consideran menos peor que al decrepito presidente actual. Aunque no nos preocupa... Sera Zochitl quien asuma la presidencia de Mexico en 2024.",2023-11-24 22:18:21+00:00
"@mario_delgado @jamenci @XochitlGalvez ?Osea que los titulos si importan?

Ojo aqui Presidente @lopezobrador_ 

Aun no se va y ya me lo andan haciendo menos",2023-11-24 22:14:24+00:00
"Tan solo hay que ver el estado en el que dejaron la CDMX y Nuevo Leon. 

La delincuencia esta desbordada en los dos estados. En los dos se maquillan cifras de asesinatos y secuestros. El desvio de recursos es indignante. 

Solo hay una opcion para presidente y es @XochitlGalvez.",2023-11-24 22:09:22+00:00
@mario_delgado @XochitlGalvez Pero no hablamos del burro que tardo 18 anos en terminar la carrera y es presidente. Porque vamos a fingir.,2023-11-24 22:07:06+00:00
"@mario_delgado @XochitlGalvez Tu cientifica, la chimoltrufia de Claudia no pudo ni con el mantenimiento del metro, ya ves, hasta se le cayo la L12, y nada mas se hicieron de la vista gorda, que resolvio? Nada!!! Pero eso si. Quiere ser presidente la lagartija parada esa de Claudia... ",2023-11-24 22:03:05+00:00
"@tatclouthier @XochitlGalvez @Claudiashein Claudia lo que es , es un titere de un parasito destructor que desgraciadamente es el presidente. Aparte , responsable de tragedias como la L12 y el colegio #RebsamenNoSeOlvida eso es @Claudiashein , no se olvide.",2023-11-24 22:02:50+00:00
@XochitlGalvez @WCKitchen GRACIAS A NUESTRO PRESIDENTE LOPEZ OBRADOR,2023-11-24 22:01:12+00:00
